Gene Name;Gene ID;Group;Chr;Start;End;Strand;Degree;Closeness;Betweenness;dN/dS Chimp;dN/dS Macaque;dN/dS Mouse;Tajima's D exons;Tajima's D regulatory;Fay and Wu's H exons;Fay and Wu's H regulatory
SLC7A9;ENSG00000021488;CM;19;33321415;33360672;-1;-;-;-;0,24;0,2;0,09;0,682;0,856;-0,00033;-0,00029
ADA;ENSG00000196839;CM;20;43248163;43280874;-1;4;0,26;10804,18;0,31;0,22;0,08;-1,341;-0,14;-0,00028;-0,00033
SFTPD,SPD;ENSG00000133661;CM;10;81697496;81742927;-1;3;0,21;17590;-;0,4;0,38;1,157;0,095;0,00041;-0,00063
MC4R;ENSG00000166603;CM;18;58038564;58040001;-1;4;0,21;22057,95;0,55;0,14;0,06;-1,388;-0,959;0,00006;-0,00035
BRCA2;ENSG00000139618;CM;13;32889611;32973805;1;40;0,33;59789,24;0,29;0,54;0,43;-0,694;0,241;0,00005;0,00002
MHC2TA,CIITA;ENSG00000179583;CM;16;10971055;11026079;1;14;0,29;2660,05;0,28;0,25;0,18;0,084;0,509;-0,00036;-0,00027
RAG1;ENSG00000166349;CM;11;36532259;36614706;1;5;0,26;136,95;0,27;0,15;0,08;-0,669;-0,818;-0,0001;-0,00021
HOXD10;ENSG00000128710;CM;2;176973518;176984670;1;1;0,25;0;0,47;0,63;0,05;-1,246;-0,457;0,0003;-0,00006
CTH;ENSG00000116761;CM;1;70876901;70905534;1;1;0;0;0,21;0,13;0,11;1,033;0,085;0,00045;0,00016
CRB1;ENSG00000134376;CM;1;197170592;197447585;1;2;0,24;72,36;0,52;0,43;0,33;0,658;0,759;0,00016;0,00004
CYP1A2;ENSG00000140505;CM;15;75041185;75048543;1;1;0,18;0;0,27;0,27;0,17;-1,367;-1,165;-0,00075;-0,00073
IGF1R;ENSG00000140443;CM;15;99192200;99507759;1;34;0,33;111040,05;0;0,02;0,03;-0,477;-0,163;0,00027;-0,00044
C3;ENSG00000125730;CM;19;6677715;6730573;-1;10;0,19;53332,62;0,32;-;0,14;-0,227;1,097;-0,00015;-0,00044
ABCC2;ENSG00000023839;CM;10;101542489;101611949;1;3;0,22;201,93;-;0,44;0,24;-1,202;0,451;-0,00007;-0,00017
ACE;ENSG00000159640;CM;17;61554422;61599205;1;-;-;-;-;-;-;1,306;1,171;-0,00016;0,00002
TNNI2;ENSG00000130598;CM;11;1860219;1862910;1;2;0,24;0;0,07;0,03;0,01;0,254;0,928;0,00043;-0,00003
CDH23;ENSG00000107736;CM;10;73156691;73575702;1;1;0,19;0;-;-;-;-0,419;0,587;-0,00004;-0,00008
DNAH11;ENSG00000105877;CM;7;21582833;21941457;1;-;-;-;-;0,37;0,15;0,262;0,378;-0,00015;-0,00066
KIF5A;ENSG00000155980;CM;12;57943781;57980415;1;9;0,26;1071,07;0,07;0,14;0,01;-0,142;-0,328;0,0002;-0,00004
PKHD1;ENSG00000170927;CM;6;51480098;51952423;-1;-;-;-;0,52;0,47;0,35;-0,33;1,207;-0,00003;-0,00005
NOTCH2;ENSG00000134250;CM;1;120454176;120612240;-1;7;0,26;987,25;-;0,08;0,07;-1,235;-1,605;-0,00014;-0,00045
C2;ENSG00000166278;CM;6;31865562;31913449;1;3;0,21;5075,41;0,25;0,18;0,21;-1,484;-1,136;-0,00146;-0,00013
GLI3;ENSG00000106571;CM;7;42000548;42277469;-1;10;0,28;31561,44;0,08;0,08;0,11;-0,781;0,383;-0,00076;-0,00018
CHEK2;ENSG00000183765;CM;22;29083731;29138410;-1;20;0,29;19857,58;0,54;0,52;0,18;-0,42;-0,185;0,00023;0,00006
DDC;ENSG00000132437;CM;7;50526134;50633154;-1;-;-;-;0,24;0,25;0,09;0,759;0,642;0,00012;-0,00035
HNF4A;ENSG00000101076;CM;20;42984340;43060030;1;43;0,31;37342,9;0,13;0,01;0,03;-0,823;1,281;-0,00023;-0,00007
COL5A1;ENSG00000130635;CM;9;137533620;137736686;1;3;0,21;103,29;-;0,14;0,06;0,41;0,372;-0,00053;-0,00051
C5;ENSG00000106804;CM;9;123714616;123812554;-1;6;0,2;14555,8;0,33;0,34;0,23;0,071;0,3;-0,00015;-0,00035
OPTN;ENSG00000123240;CM;10;13141449;13180291;1;5;0,26;1220,07;0,17;0,22;0,16;-0,181;0,686;0,0002;0,00008
ARHGEF10;ENSG00000104728;CM;8;1772142;1906807;1;1;0,23;0;0,25;0,13;0,11;0,513;0,606;-0,00003;-0,00066
EGR2;ENSG00000122877;CM;10;64571756;64679660;-1;6;0,26;1496,98;0;0,05;0,11;-0,982;0,752;0,00017;0
FUT1;ENSG00000174951;CM;19;49251268;49258647;-1;-;-;-;0,58;0,2;0,14;0,517;2,106;-0,00064;-0,00017
CDKN2A;ENSG00000147889;CM;9;21967751;21995300;-1;29;0,32;25891,28;0,47;-;-;-0,501;-0,658;0,00019;-0,00011
EVC;ENSG00000072840;CM;4;5712924;5830772;1;-;-;-;0,21;0,2;0,19;0,312;0,877;-0,00152;-0,0004
LDLR;ENSG00000130164;CM;19;11200038;11244492;1;11;0,31;57721,93;0,09;0,22;0,11;0,527;0,466;-0,0006;-0,00017
KRT5;ENSG00000186081;CM;12;52908359;52914471;-1;4;0,26;2233,35;-;0,02;0,09;-0,742;-0,481;-0,00194;-0,00104
SNCA;ENSG00000145335;CM;4;90645250;90759466;-1;46;0,32;103541,66;-;0,37;0,1;0,999;0,556;-0,00128;-0,00026
PSAP;ENSG00000197746;CM;10;73576055;73611126;-1;6;0,24;10591,79;0,17;0,12;0,23;-0,083;0,47;0,00001;0,00018
COL1A1;ENSG00000108821;CM;17;48260650;48278993;-1;15;0,26;25529,73;0;0,06;0,19;-0,528;-0,862;-0,00002;-0,00036
ANTXR2;ENSG00000163297;CM;4;80822303;81046608;-1;1;0,3;0;0,42;0,52;0,18;0,449;1;0,00007;0,00002
LAMA2;ENSG00000196569;CM;6;129204342;129837714;1;1;0,22;0;0,43;0,22;0,11;-0,675;0,485;-0,0003;-0,00046
SAG;ENSG00000130561;CM;2;234216462;234255701;1;1;0,23;0;0,83;0,26;0,19;0,166;0,38;0,00019;-0,00023
LAMB1;ENSG00000091136;CM;7;107564244;107643700;-1;1;0,21;0;0,28;0,09;0,06;-0,324;1,009;0,00022;0,00009
ALDH4A1;ENSG00000159423;CM;1;19197926;19229275;-1;-;-;-;0,08;0,06;0,05;0,78;-0,238;0,00017;-0,00109
LAMC2;ENSG00000058085;CM;1;183155373;183214035;1;2;0,21;86,97;0,66;0,44;0,18;-0,789;0,748;-0,00043;-0,00055
STAT1;ENSG00000115415;CM;2;191829084;191885686;-1;54;0,34;129650,35;0,03;0,08;0,05;-0,465;-0,482;0,00028;-0,00015
MCCC1;ENSG00000078070;CM;3;182733006;182833863;-1;-;-;-;0,45;0,18;0,14;-1,175;-0,459;-0,00018;-0,00039
TGFB1;ENSG00000105329;CM;19;41807492;41859816;-1;26;0,27;113740,25;0;0,22;0,06;-1,164;0,053;0,00001;-0,00021
EIF2AK3;ENSG00000172071;CM;2;88856259;88927094;-1;5;0,27;197,56;0,25;0,21;0,12;1,123;-0,173;0,00023;0,00006
FGF23;ENSG00000118972;CM;12;4477393;4488894;-1;-;-;-;0,63;0,16;0,09;1,16;0,211;0,00014;-0,00051
ABCA1;ENSG00000165029;CM;9;107543283;107690518;-1;10;0,31;56269,44;0,24;0,27;0,05;-0,281;-0,085;-0,0001;-0,00074
OCA2;ENSG00000104044;CM;15;28000021;28344504;-1;-;-;-;0,32;0,34;0,21;0,452;0,649;-0,00034;-0,00038
RNASEL;ENSG00000135828;CM;1;182542769;182558391;-1;1;0,24;0;1,05;0,76;0,4;0,662;0,451;-0,00026;0,0001
KIT;ENSG00000157404;CM;4;55524085;55606881;1;32;0,32;50579,2;0,14;0,1;0,16;-1,142;0,459;0,00014;-0,00017
TIMP3;ENSG00000100234;CM;22;33197687;33259030;1;2;0,21;204,01;0;0,3;0,02;0,667;-0,257;-0,00004;-0,00019
PCK1;ENSG00000124253;CM;20;56136136;56141513;1;1;0,26;0;0,08;0,1;0,05;1,171;0,134;0,00053;0,00002
CYP21A2;ENSG00000231852;CM;6;32006042;32009447;1;-;-;-;0,21;0,13;0,17;-0,282;-0,748;-0,0038;-0,00067
SLC22A5;ENSG00000197375;CM;5;131705444;131731306;1;-;-;-;-;0,12;-;0,828;0,879;0,00007;0,00014
SUOX;ENSG00000139531;CM;12;56390964;56400425;1;-;-;-;0,23;0,27;0,19;-0,326;-0,372;-0,00016;-0,00014
CTDP1;ENSG00000060069;CM;18;77439801;77514510;1;14;0,27;2059,6;0,17;0,14;0,12;0,047;0,566;0,00038;0,00023
FGFR3;ENSG00000068078;CM;4;1795034;1810599;1;30;0,29;76791,9;0,3;0,02;0,05;-1,473;-1,628;-0,00179;-0,00098
MAPT;ENSG00000186868;CM;17;43971748;44105700;1;21;0,33;24848,19;0,22;0,34;0,1;1,756;1,788;-0,00147;-0,00115
SLC25A15;ENSG00000102743;CM;13;41363548;41384247;1;-;-;-;0,18;0,01;-;0,489;0,493;-0,00144;-0,00025
BCHE;ENSG00000114200;CM;3;165490692;165555260;-1;2;1;0;0,43;0,3;0,15;-0,919;-0,899;-0,00055;-0,0005
KCNE3;ENSG00000175538;CM;11;74165886;74178774;-1;-;-;-;0;0,03;0,06;0,32;0,441;0,00024;0,00001
GALC;ENSG00000054983;CM;14;88304164;88460009;-1;-;-;-;0,04;0,24;0,18;1,452;1,216;0,00031;-0,00111
KCNE2;ENSG00000159197;CM;21;35736323;35743440;1;1;0,21;0;0,26;0,67;0,05;-0,993;-0,452;0,00012;-0,00053
CYP2A6;ENSG00000255974;CM;19;41349443;41356352;-1;-;-;-;-;-;-;-0,981;-0,759;-;-0,00007
FGFR2;ENSG00000066468;CM;10;123237848;123357972;-1;10;0,27;16607,05;0,05;0,41;0,06;-0,169;-0,209;-0,00026;-0,00022
APOB;ENSG00000084674;CM;2;21224301;21266945;-1;13;0,31;31843,54;0,71;0,5;0,36;-1,084;-0,624;0,00017;0,00002
SUMF1;ENSG00000144455;CM;3;3742498;4508965;-1;-;-;-;0,68;0,62;0,14;2,426;0,641;0,00011;-0,00049
VDR;ENSG00000111424;CM;12;48235320;48336831;-1;58;0,32;21966,71;-;0,07;0,08;-0,299;0,548;-0,00033;-0,00003
SGCG;ENSG00000102683;CM;13;23755091;23899304;1;1;0,2;0;1,14;0,44;0,18;0,848;1,818;0,00039;0,00005
SHH;ENSG00000164690;CM;7;155592680;155604967;-1;1;0;0;-;0,19;0,05;-0,261;-0,34;0,0001;0,00004
AMPD1;ENSG00000116748;CM;1;115215719;115238239;-1;-;-;-;0,88;0,45;0,07;-1,055;-0,667;0,00019;0,00005
LRRK2;ENSG00000188906;CM;12;40590546;40763087;1;3;0,27;18,34;0,44;0,24;0,11;0,725;0,553;0,00025;-0,00004
GGCX;ENSG00000115486;CM;2;85774743;85788670;-1;-;-;-;0,49;0,26;0,14;0,299;0,286;0,00016;0,00002
KIF1B;ENSG00000054523;CM;1;10270863;10441661;1;4;0,27;1575,42;0,65;0,25;0,03;-0,764;0,061;-0,00013;-0,00049
ZFPM2;ENSG00000169946;CM;8;106330920;106816760;1;10;0,27;244,76;0,15;0,11;0,06;-1,454;0,31;-0,00088;-0,00014
IRF6;ENSG00000117595;CM;1;209959036;209979465;-1;4;0,23;5208,83;0;0;0,02;0,903;1,109;0,00049;0,00003
ATP8B1;ENSG00000081923;CM;18;55313658;55470333;-1;-;-;-;0,06;0,41;0,04;-0,471;1,022;-0,00014;-0,00014
UMOD;ENSG00000169344;CM;16;20344374;20367623;-1;1;0,2;0;0,55;0,28;0,17;0,092;0,137;-0,0003;-0,00019
PTPN11;ENSG00000179295;CM;12;112856155;112947717;1;62;0,3;102324,98;0;-;0;-1,521;-1,704;0,00007;-0,00027
PTEN;ENSG00000171862;CM;10;89622870;89731687;1;19;0,33;47986,26;0;0;0,01;-1,584;-1,801;-0,00033;-0,00082
APOA1;ENSG00000118137;CM;11;116706467;116708666;-1;16;0,25;70776,28;0;-;0,22;-1,045;-0,721;0,00019;-0,00036
NOG;ENSG00000183691;CM;17;54671060;54672951;1;2;0,21;0;0,03;0;0,01;-1,532;0,177;-0,00103;-0,00021
GCH1;ENSG00000131979;CM;14;55308726;55369570;-1;2;0,21;403,64;0;0,09;0,11;-0,76;0,261;0,00023;-0,00014
NAT2;ENSG00000156006;CM;8;18248755;18258728;1;-;-;-;1,17;0,82;-;1,612;1,456;0,00077;0,0004
TP53;ENSG00000141510;CM;17;7565097;7590856;-1;335;0,38;1674633,24;0;0,36;0,25;-0,912;-0,439;-0,001;-0,00071
XPA;ENSG00000136936;CM;9;100437191;100459639;-1;11;0,28;2687,67;0,28;0,79;0,1;-0,059;-0,548;0,00015;0,00003
SPTLC1;ENSG00000090054;CM;9;94794281;94877666;-1;5;0,25;604,79;0,13;0,44;0,06;-0,812;-1,267;-0,00025;-0,00074
GATA3;ENSG00000107485;CM;10;8095567;8117161;1;13;0,31;7706,54;0,03;0,03;0,02;-1,188;0,237;0,0002;-0,00022
F5;ENSG00000198734;CM;1;169483404;169555826;-1;6;0,24;5099,45;0,32;-;0,32;-0,083;0,863;-0,00005;-0,00035
GHR;ENSG00000112964;CM;5;42423879;42721979;1;25;0,29;22021,03;1,22;0,98;0,47;1,653;0,227;0,00018;-0,00015
C4A;ENSG00000244731;CM;6;31949801;31970458;1;-;-;-;0,28;-;-;-;-0,495;-;-0,00024
ADAMTS2;ENSG00000087116;CM;5;178537852;178772431;-1;-;-;-;0,12;0,07;0,08;0,602;0,885;-0,00012;-0,00014
PAX9;ENSG00000198807;CM;14;37126773;37148920;1;10;0,26;6326,69;0,19;0,07;0,02;1,608;1,378;0,00024;-0,00017
EFEMP1;ENSG00000115380;CM;2;56093102;56151274;-1;2;0,24;50,56;0;0,52;0,06;-1,596;-0,522;-0,00108;-0,00057
INSR;ENSG00000171105;CM;19;7112266;7294045;-1;36;0,32;47266,41;0,19;-;0,03;-0,61;0,597;-0,00071;-0,00059
PC;ENSG00000173599;CM;11;66615704;66725847;-1;3;0,25;155,84;0,04;0,03;0,02;-2,067;-0,85;0,00004;-0,00038
TBXAS1;ENSG00000059377;CM;7;139476850;139720125;1;-;-;-;0,48;0,17;0,21;-1,382;-0,341;-0,00022;-0,00054
TNXB;ENSG00000168477;CM;6;32008931;32083111;-1;-;-;-;0,2;0,11;0,11;-0,993;-1,097;-0,00008;-0,00014
PARK2;ENSG00000185345;CM;6;161768452;163148803;-1;68;0,34;239292,28;0,42;0,3;0,13;-1,603;0,498;-0,00011;-0,00038
LCAT;ENSG00000213398;CM;16;67973653;67978034;-1;2;0,21;692,55;0;0,04;0,15;-1,236;-1,571;-0,00035;-0,00033
NKX2-5;ENSG00000183072;CM;5;172659112;172662360;-1;8;0,27;2096,3;0,04;0,08;0,05;0,485;0,185;-0,00019;-0,00002
APOA5;ENSG00000110243;CM;11;116660083;116663136;-1;-;-;-;0,14;0,1;0,13;-1,332;-1,041;0,00046;0,00001
TH;ENSG00000180176;CM;11;2185159;2193107;-1;2;0,25;0,83;0,28;0,15;0,07;-0,085;1,809;-0,00019;-0,00009
DPYD;ENSG00000188641;CM;1;97543299;98386605;-1;-;-;-;0,06;0,16;0,1;-0,802;-0,401;-0,00032;-0,00027
PRPF3;ENSG00000117360;CM;1;150293925;150325671;1;14;0,28;16917,35;0;0,02;0,01;-0,231;1,124;0,00009;0,00041
GLB1;ENSG00000170266;CM;3;33038100;33138722;-1;3;0,25;900,11;0,76;0,3;0,25;-0,318;-0,055;-0,00047;-0,00064
ADAR;ENSG00000160710;CM;1;154554538;154600475;-1;2;0,25;28,22;0,38;0,29;0,22;2,039;1,865;0,00006;0,00021
MTHFR;ENSG00000177000;CM;1;11845780;11866977;-1;1;0,21;0;0,04;0,1;0,06;0,109;0,063;-0,00016;-0,00068
GABRG2;ENSG00000113327;CM;5;161494546;161582542;1;2;0,22;349,22;-;0,13;0,01;0,568;-0,994;0,00007;0,00029
CDSN;ENSG00000204539;CM;6;31082867;31088223;-1;2;1;0;0,28;0,43;0,3;3,247;2,692;0,00098;0,00023
ROR2;ENSG00000169071;CM;9;94325373;94712444;-1;2;0,26;305,16;0,09;0,04;0,05;0,567;0;0,00002;-0,00048
KCNQ1;ENSG00000053918;CM;11;2465914;2870339;1;8;0,26;17714,41;-;0,08;0,06;-0,203;0,191;0,00007;-0,00024
WFS1;ENSG00000109501;CM;4;6271576;6304992;1;6;0,31;1628,92;-;0,04;0,05;0,027;0,961;0,00021;-0,0004
CACNA1C;ENSG00000151067;CM;12;2079952;2802108;1;6;0,26;13386,75;0,1;0,19;0,05;-0,632;-0,173;-0,00038;-0,00065
CSF2RB;ENSG00000100368;CM;22;37309670;37336491;1;11;0,28;5028,14;0,34;0,44;-;-1,32;0,767;-0,00027;-0,00009
IFNGR2;ENSG00000159128;CM;21;34775202;34851655;1;3;0,25;3062,77;0,72;0,48;0,43;0,264;0,91;-0,00135;0,00004
ATM;ENSG00000149311;CM;11;108093211;108239829;1;64;0,32;98075,46;0,37;0,19;0,18;0,01;0,505;0,00004;0,00006
LIPA;ENSG00000107798;CM;10;90973326;91174314;-1;-;-;-;0;0,16;0,24;-0,201;-0,032;-0,00023;-0,0004
TITF1,NKX2-1;ENSG00000136352;CM;14;36985602;36990354;-1;10;0,28;10255,41;0,17;0,06;0,01;0,707;0,146;0,0001;-0,00005
DSG1;ENSG00000134760;CM;18;28898052;28936992;1;11;0,26;2901,93;0,53;0,38;-;-0,039;2,086;-0,00005;-0,00009
BTD;ENSG00000169814;CM;3;15642848;15687329;1;-;-;-;0,68;0,32;0,16;-1,265;-1,112;-0,00088;-0,0009
TGFBR2;ENSG00000163513;CM;3;30647994;30735634;1;22;0,32;40567,51;0;0,07;0,06;-1,507;1,018;0,00011;-0,00044
NGFB,NGF;ENSG00000134259;CM;1;115828539;115880857;-1;4;0,25;683,15;0,14;0,07;0,16;-0,444;-0,14;0,00014;-0,00042
RAG2;ENSG00000175097;CM;11;36597124;36619829;-1;4;0,31;1398,31;-;0,1;0,12;-0,053;-1,123;0,00009;-0,00034
GBA;ENSG00000177628;CM;1;155204239;155214653;-1;-;-;-;0,56;-;0,13;-1,055;0,681;0,00001;0,00006
PCBD1;ENSG00000166228;CM;10;72642037;72648541;-1;44;0,29;107073;0;0;0,01;1,21;0,101;-0,00049;-0,00013
PVR;ENSG00000073008;CM;19;45147098;45166850;1;5;0,24;1501,81;0,31;0,51;0,28;-1,072;-1,113;0,00029;-0,00044
SLC26A3;ENSG00000091138;CM;7;107405912;107443670;-1;1;0,21;0;0,5;1,04;0,23;-0,781;0,841;-0,00029;-0,00013
TBX5;ENSG00000089225;CM;12;114791736;114846247;-1;3;0,25;130,48;0,04;0,02;0,02;-1,048;0,236;0,00004;0,00007
THRB;ENSG00000151090;CM;3;24158651;24536773;-1;32;0,31;14343,76;0;0,65;0,17;0,247;0,129;-0,00041;-0,00035
AFP;ENSG00000081051;CM;4;74296855;74321891;1;3;0,23;267,92;0,34;0,2;0,35;-0,63;0,687;0,00008;-0,00002
CPS1;ENSG00000021826;CM;2;211342406;211543831;1;1;0,25;0;0,26;0,12;0,05;-0,062;0,415;-0,00009;-0,00002
CTSK;ENSG00000143387;CM;1;150768684;150780799;-1;2;0,23;1113,68;1,13;0,26;0,19;-0,969;-0,311;0,00001;-0,00001
TCN2;ENSG00000185339;CM;22;31002825;31023265;1;-;-;-;0,54;0,21;0,27;-0,146;0,286;0,00057;0,0002
BBS1;ENSG00000174483;CM;11;66278077;66301098;1;3;0,25;209,44;-;-;-;0,695;0,798;0,00001;-0,00022
ALDH2;ENSG00000111275;CM;12;112204691;112247782;1;9;0,27;7701,18;-;-;-;-0,969;-0,635;0,00001;-0,00002
ELOVL4;ENSG00000118402;CM;6;80624529;80657297;-1;-;-;-;0,55;0,33;0,06;-0,707;-0,336;-0,00042;-0,00057
TBX3;ENSG00000135111;CM;12;115108059;115121969;-1;6;0,28;757,63;0,07;0,03;0,03;-0,327;0,185;-0,0002;0,00003
TAS2R38;ENSG00000257138;CM;7;141672431;141673573;-1;-;-;-;0,85;0,37;0,48;2,994;1,146;-0,00037;-0,00005
MERTK;ENSG00000153208;CM;2;112656056;112787138;1;2;0,26;456,75;0,35;0,33;0,19;0,573;1,485;0,00051;0,0002
COL2A1;ENSG00000139219;CM;12;48366748;48398269;-1;9;0,25;8880,93;0,05;0,13;0,08;-0,205;0,786;-0,00117;-0,00037
AIRE;ENSG00000160224;CM;21;45705721;45718531;1;44;0,3;41508,76;0,16;0,29;0,21;0,021;0,468;-0,00163;-0,00063
TYR;ENSG00000077498;CM;11;88910620;89028927;1;-;-;-;0,21;0,36;0,12;0,987;-0,198;-0,00033;-0,0005
PITX2;ENSG00000164093;CM;4;111538579;111563279;-1;7;0,28;1160,23;0;0,01;0,02;-1,089;-0,323;-0,00006;0,00001
SGCD;ENSG00000170624;CM;5;155297354;156194799;1;1;0,2;0;0;0,11;0,08;-1,444;0,334;-0,00204;-0,00024
BRIP1;ENSG00000136492;CM;17;59758627;59940882;-1;7;0,27;192,39;0,17;0,54;0,28;1,358;0,494;0,00006;-0,00009
LPA;ENSG00000198670;CM;6;160952515;161087407;-1;4;0,25;1201,31;0,49;0,53;-;-0,593;0,546;0,00018;-0,00007
CARD15,NOD2;ENSG00000167207;CM;16;50727514;50766988;1;3;0,24;4,42;0,32;0,25;0,18;0,43;0,757;0,0002;0,00017
CHRNA4;ENSG00000101204;CM;20;61975420;62009753;-1;1;0,23;0;0,19;0,06;0,07;-0,538;-0,303;-0,00146;-0,00122
PPARG;ENSG00000132170;CM;3;12328867;12475855;1;53;0,33;68414,5;0,1;0,09;0,04;-1,256;0,451;0,00017;-0,00017
HOXA13;ENSG00000106031;CM;7;27233122;27239725;-1;-;-;-;0,05;0;0,01;-1,573;-1,353;-0,00063;-0,00012
PAX3;ENSG00000135903;CM;2;223064607;223163715;-1;13;0,32;40236,05;0;0,05;0,01;-1,123;0,695;0,00026;0,00015
SCO2;ENSG00000130489;CM;22;50961997;50964868;-1;-;-;-;0,2;0,27;0,15;1,242;0,454;0,00029;0,00002
CASP10;ENSG00000003400;CM;2;202047604;202094129;1;29;0,28;5699,58;1,21;1,65;-;-0,527;-0,674;-0,00065;-0,00038
FBN1;ENSG00000166147;CM;15;48700503;48938046;-1;5;0,2;935,74;0,03;0,05;0,03;-1,269;-0,912;-0,00015;-0,00044
IL12B;ENSG00000113302;CM;5;158741791;158757895;-1;2;0,67;3;0,16;0,29;0,27;-0,926;0,667;0,00024;0,00023
EPB41;ENSG00000159023;CM;1;29213603;29446553;1;20;0,28;25226,29;0,39;0,46;0,1;0,193;-0,559;0,00028;-0,0001
ANK1;ENSG00000029534;CM;8;41510739;41754280;-1;9;0,23;19403,45;0,2;0,1;0,07;-0,697;0,05;0,00022;-0,00019
GPX1;ENSG00000233276;CM;3;49394609;49396033;-1;1;0,24;0;0;0,04;-;1,775;0,683;0,00035;0,00013
CYP27B1;ENSG00000111012;CM;12;58156117;58161034;-1;-;-;-;0,12;0,22;0,17;-1,558;-0,219;0,00005;0,00002
STK11;ENSG00000118046;CM;19;1189406;1228428;1;12;0,32;24466,06;0,07;0,05;0,04;0,167;0,288;0,00018;0,00009
PEPD;ENSG00000124299;CM;19;33877856;34012700;-1;-;-;-;0,28;0,18;0,06;-0,733;0,195;0,00032;-0,00021
DNMT3B;ENSG00000088305;CM;20;31350191;31397162;1;33;0,29;18363,42;0,03;0,28;0,12;-0,497;1,056;0,00001;0,00009
WNK1;ENSG00000060237;CM;12;861759;1020618;1;20;0,28;34377,44;0,35;0,22;0,21;0,427;0,455;-0,00037;0,00003
