#;Symbol;Description;Category;Score;Evidence;PubmedIds
;;Gene dosage effects of Amyloid precursor protein (APP) can cause familial AD. Recent evidence suggest that microRNA (miRNA) pathways, implicated in gene transcriptional control, could be involved in the development of sporadic Alzheimer's disease (AD). We therefore investigated whether miRNAs could participate in the regulation of APP gene expression. We show that miRNAs belonging to the miR-20a family (that is, miR-20a, miR-17-5p and miR-106b) could regulate APP expression in vitro and at the endogenous level in neuronal cell lines. A tight correlation between these miRNAs and APP was found during brain development and in differentiating neurons. We thus identify miRNAs as novel endogenous regulators of APP expression, suggesting that variations in miRNA expression could contribute to changes in APP expression in the brain during development and disease. This possibility is further corroborated by the observation that a statistically significant decrease in miR-106b expression was found in sporadic AD patients.;;;Unspecified 47;
10;MIR107;MicroRNA 107;RNA Gene;361.54;Causal 47;20413881
;;Quantitative Alzheimer’s disease (AD) histopathology was performed on adjacent tissue. Statistical regression analyses were performed comparing neuritic plaque (NP) and neurofibrillary tangle (NFT) counts. Correlation was observed between decreased miR-107 expression and NP counts (P;;;DISEASES inferred 15;
;;;;;GeneCards inferred via(show sections);
11;MIR29A;MicroRNA 29a;RNA Gene;357.28;Causal 47;20202123
;;It was found significant down-regulation of miR-29a in Alzheimer disease (AD) brains. The database search on TargetScan, PicTar and miRBase Target identified neurone navigator 3 (NAV3), a regulator of axon guidance, as a principal target of miR-29a, and actually NAV3 mRNA levels were elevated in AD brains. . Underexpression of miR-29a affects neurodegenerative processes by enhancing neuronal NAV3 expression in AD brains.;;;GeneCards inferred via(show sections);
12;MIR29B1;MicroRNA 29b-1;RNA Gene;357.15;Causal 47;18434550
;;that miR-29a, -29b-1, and -9 can regulate BACE1 expression in vitro. The miR-29a/b-1 cluster was significantly (and AD-dementia-specific) decreased in AD patients displaying abnormally high BACE1 protein.;;;GeneCards inferred via(show sections);
13;MIR298;MicroRNA 298;RNA Gene;350;Causal 47;18986979
;;Intriguingly, previous post-mortem analyses showed higher beta-amyloid precursor protein-converting enzyme (BACE) protein, but not mRNA, levels in the brain of patients that suffered from Alzheimer disease (AD). Here we also observed a loss of correlation between BACE1 mRNA and protein levels in the hippocampus of a mouse model of AD. Consistent with an impairment of miRNA-mediated regulation of BACE1 expression, these findings prompted us to investigate the regulatory role of the BACE1 3'-UTR element and the possible involvement of specific miRNAs in cultured neuronal (N2a) and fibroblastic (NIH 3T3) cells. Through various experimental approaches, we validated computational predictions and demonstrated that miR-298 and miR-328 recognize specific binding sites in the 3'-UTR of BACE1 mRNA and exert regulatory effects on BACE1 protein expression in cultured neuronal cells. Our results may provide the molecular basis underlying BACE1 deregulation in AD and offer new perspectives on the etiology of this neurological disorder.;;;;
14;MIR34A;MicroRNA 34a;RNA Gene;350;Causal 47;19683563
;;We show that the expression of miR-34a is inversely correlated with the protein level of bcl2 in APPswe/PSDeltaE9 mice and age-matched controls, and miR-34a expression directly inhibits bcl2 translation in SH-SY5Y cells. No effect on bcl2 mRNA level was observed. Western blot analysis of active caspase-3 showed higher levels in APPswe/PSDeltaE9 mice and stable transfecant cell line of miR-34a than in controls. Consistently, miR-34a knockdown through antisense LNA oligonucleotides increased the level of bcl2 protein in SH-SY5Y cells, which was accompanied by a decrease of active caspase-3. These findings suggested that bcl2 is an important functional target for miR-34a, and the abnormal expression of miR-34a may contribute to the pathogenesis of Alzheimer's disease, at least in part by affecting the expression of bcl2.;;;;
15;MIR328;MicroRNA 328;RNA Gene;350;Causal 47;18986979
;;Intriguingly, previous post-mortem analyses showed higher beta-amyloid precursor protein-converting enzyme (BACE) protein, but not mRNA, levels in the brain of patients that suffered from Alzheimer disease (AD). Here we also observed a loss of correlation between BACE1 mRNA and protein levels in the hippocampus of a mouse model of AD. Consistent with an impairment of miRNA-mediated regulation of BACE1 expression, these findings prompted us to investigate the regulatory role of the BACE1 3'-UTR element and the possible involvement of specific miRNAs in cultured neuronal (N2a) and fibroblastic (NIH 3T3) cells. Through various experimental approaches, we validated computational predictions and demonstrated that miR-298 and miR-328 recognize specific binding sites in the 3'-UTR of BACE1 mRNA and exert regulatory effects on BACE1 protein expression in cultured neuronal cells. Our results may provide the molecular basis underlying BACE1 deregulation in AD and offer new perspectives on the etiology of this neurological disorder.;;;;
16;BACE1;Beta-Secretase 1;Protein Coding;227.44;Experimental evidence: Expression 39;29316899 1192262317576410 (more) 
;;We found that the plasma LncRNA BACE1 level of AD patients was significantly higher than that of healthy controls (p?=?0.006). Plasma level of LncRNA 17A, 51A and BC200 did not show a significant difference between two groups (p?=?0.098, p?=?0.204 and p?=?0.232, respectively). ROC curve analysis showed that LncRNA BACE1 was the best candidate of these LncRNA (95% CI: 0.553-0.781, p?=?0.003). In addition, no correlation was found for expression of these LncRNA in both control and AD groups with age or MMSE scale (p?>?0.05).;;;DISEASES inferred 15 15;
;;Dysfunction Pattern: Expression [high expression];;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
BACE1::MIR107 47;MIR107 Macro RNA (hsa-miR-107) targets BACE1;;;;;
BACE1::MIR298 47;MIR298 Macro RNA (hsa-miR-298) targets BACE1;;;;;
BACE1::MIR29A 47;MIR29A Macro RNA (hsa-miR-29a) targets BACE1;;;;;
BACE1::MIR29B1 47;MIR29B1 Macro RNA (hsa-miR-29b-1) targets BACE1;;;;;
BACE1::MIR328 47;MIR328 Macro RNA (hsa-miR-328) targets BACE1;;;;;
17;SORL1;Sortilin Related Receptor 1;Protein Coding;173.5;Genetic Tests 29;19889229 1958444619822782 (more) 
;;;;;DISEASES inferred 15;
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
18;BACE1-AS;BACE1 Antisense RNA;RNA Gene;170.49;Experimental evidence: Regulation 39;24970022
;;the senile plaque (SP) AD SHSY5Y cell model was established using the synthetic amyloid betaprotein (Abeta) 142 in vitro. quantitative polymerase chain reaction and western blot analysis revealed that the mRNA and protein expression of Abeta142 and Abeta140 was significantly increased in the AD model group,with a marked decrease in Ki67 expression at day six. RNase protection assays (RPA) and northern blotting analysis confirmed that exogenous Abeta142 not only promoted the expression of the APP cleaving enzyme BACE1,but also induced lncRNA BACE1AS expression. Furthermore,lncRNA BACE1AS formed RNA duplexes and increased the stability of BACE1 mRNA. Downregulation of lncRNA BACE1AS expression in SHSY5Y cells by siRNA silencing resulted in the attenuation of the ability of BACE1 to cleave APP and delayed the induction of SP formation in the SP AD SHSY5Y cell model.;;;DISEASES inferred 15;
;;Dysfunction Pattern: Regulation [up-regulated];;;GeneCards inferred via(show sections);
19;CDKN2B-AS1;CDKN2B Antisense RNA 1;RNA Gene;157.58;Experimental evidence: Mutation39;18761660
;;Recent studies showed that single nucleotide polymorphisms (rs3217992,A>G,rs1063192,C>T) mapping in the vicinity of ANRIL are linked to a wide spectrum of conditions,including cardiovascular disease,ischemic stroke,type 2 diabetes,frailty and Alzheimer's disease.;;;GeneCards inferred via(show sections);
;;Dysfunction Pattern: Mutation;;;;
20;LINC01080;Long Intergenic Non-Protein Coding RNA 1080;RNA Gene;153.53;Experimental evidence: Mutation39;25019275
;;single-nucleotide polymorphisms (SNPs) of long intergenic noncoding RNA (lincRNA) at the genome level indicated that a genetic variant, rs7990916, in the lincRNA 01080 (linc01080) may play an important role in the physiology and pathophysiology of the human brain.;;;DISEASES inferred 15;
;;Dysfunction Pattern: Mutation;;;;
21;LINC01772;Long Intergenic Non-Protein Coding RNA 1772;RNA Gene;150;Experimental evidence: Regulation 39;27992375
;;Prioritization of lncRNAs from a microarray (GSE53622) of oesophageal cancer patients highlighted ENSG00000226029 (top 2), a previously unidentified lncRNA as a potential prognostic biomarker. ;;;;
;;Dysfunction Pattern: Regulation;;;;
22;BCYRN1;Brain Cytoplasmic RNA 1;RNA Gene;150;Experimental evidence: Regulation 39;21969146
;;A study has shown that BC200 RNA is upregulated in the frontal cortex of the AD brains compared to the age-matched controls. The expression level of BC200 RNA is increased in parallel with the AD progression. In human nervous system,BC200 RNA is expressed by a subpopulation of neurons analogous to BC1 RNA,a 152 nt noncoding RNA localized in the dendrite-rich neuropil areas [147].;;;;
;;Dysfunction Pattern: Regulation [up-regulated];;;;
23;HAR1A;Highly Accelerated Region 1A;RNA Gene;150;Experimental evidence 39;22817756
;;Schizophrenia spectrum disorders and AD have also been linked with the rheelin (RELN) gene and its antisense transcript HAR1;;;;
;;Dysfunction Pattern:;;;;
24;HAR1B;Highly Accelerated Region 1B;RNA Gene;150;Experimental evidence 39;22817756
;;Schizophrenia spectrum disorders and AD have also been linked with the rheelin (RELN) gene and its antisense transcript HAR1;;;;
;;Dysfunction Pattern:;;;;
25;LINC01616;Long Intergenic Non-Protein Coding RNA 1616;RNA Gene;150;Experimental evidence: Regulation 39;26318290
;;LncRNA n341006 is associated with protein ubiquitination pathway;;;;
;;Dysfunction Pattern: Regulation;;;;
26;LRP1-AS;LRP1 Antisense RNA;RNA Gene;150;Experimental evidence: Regulation 39;25937287
;;Here we identify a NAT of Low-density lipoprotein receptor-related protein 1 (Lrp1),referred to as Lrp1-AS,that negatively regulates Lrp1 expression. We show that Lrp1-AS directly binds to High mobility group box 2 (Hmgb2) and inhibits the activity of Hmgb2 to enhance Srebp1a-dependent transcription of Lrp1.;;;;
;;Dysfunction Pattern: Regulation [up-regulated];;;;
27;SOX2-OT;SOX2 Overlapping Transcript;RNA Gene;150;Experimental evidence: Expression 39;21961160
;;We selected three differential signature genes specific for the early stage (Nudt19,Arl16,Aph1b),five common to both groups (Slc15a2,Agpat5,Sox2ot,2210015,D19Rik,Wdfy1),and seven specific for late stage (D14Ertd449,Tia1,Txnl4,1810014B01Rik).;;;;
;;Dysfunction Pattern: Expression [differentially expressed];;;;
28;SNHG3;Small Nucleolar RNA Host Gene 3;RNA Gene;150;Experimental evidence: Expression 39;21961160
;;We selected three differential signature genes specific for the early stage (Nudt19,Arl16,Aph1b),five common to both groups (Slc15a2,Agpat5,Sox2ot,2210015,D19Rik,Wdfy1),and seven specific for late stage.;;;;
;;Dysfunction Pattern: Expression [differentially expressed];;;;
29;MIAT;Myocardial Infarction Associated Transcript;RNA Gene;150;Experimental evidence: Locus 39;27391072
;;We show that MIAT knockdown leads to cerebral microvascular degeneration, progressive neuronal loss and neurodegeneration, and behavioral deficits in a CNS neurovascular disorder, Alzheimer's disease.;;;;
;;Dysfunction Pattern: Locus;;;;
30;APBB2;Amyloid Beta Precursor Protein Binding Family B Member 2;Protein Coding;128.39;Genetic Tests 29;958 543 818 852 029
;;;;;DISEASES inferred 15;
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
31;BLMH;Bleomycin Hydrolase;Protein Coding;120.38;Genetic Tests 29;9818937 1035057610822352 (more) 
;;;;;DISEASES inferred 15;
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
32;ACE;Angiotensin I Converting Enzyme;Protein Coding;114.12;Genetic Tests 29;
;;;;;DISEASES inferred 15;
;;;;;GeneCards inferred via(show sections);
33;PSEN2;Presenilin 2;Protein Coding;100.95;DISEASES inferred 15;12925374 969487116233903 (more) 
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
34;PAXIP1;PAX Interacting Protein 1;Protein Coding;100;Genetic Tests 29;
;;;;;;
35;PSEN1;Presenilin 1;Protein Coding;94.6;DISEASES inferred 15;9576554 105813409923762 (more) 
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
PSEN1::GH14J073135;TSS distance: +0.6kb ;;;Curated enhancer-disease association 23 14;25910213;
;Elite enhancer;;;;;
;;;;;;
36;APOE;Apolipoprotein E;Protein Coding;82.19;DISEASES inferred 15;14757857 983163311071064 (more) 
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
37;MAPT;Microtubule Associated Protein Tau;Protein Coding;80.08;DISEASES inferred 15;17168644 78383767830071 (more) 
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
38;SNCA;Synuclein Alpha;Protein Coding;73.47;DISEASES inferred 15;18804502 122235329759660 (more) 
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
39;GSK3B;Glycogen Synthase Kinase 3 Beta;Protein Coding;71.06;DISEASES inferred 15;18932008 1180529711881998 (more) 
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
40;AD5;Alzheimer Disease 5;Genetic Locus;66.89;MalaCards inferred 57;
;;;;;GeneCards inferred via(show sections);
41;AD6;Alzheimer Disease 6;Genetic Locus;66.56;MalaCards inferred 57;
;;;;;GeneCards inferred via(show sections);
42;AD7;Alzheimer Disease 7;Genetic Locus;66.39;MalaCards inferred 57;
;;;;;GeneCards inferred via(show sections);
43;ADAM10;ADAM Metallopeptidase Domain 10;Protein Coding;63.29;DISEASES inferred 15;19234765 1922142017047365 (more) 
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
44;LRP1;LDL Receptor Related Protein 1;Protein Coding;62.97;DISEASES inferred 15;18673201 1125276810394937 (more) 
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
45;APBB1;Amyloid Beta Precursor Protein Binding Family B Member 1;Protein Coding;62.3;DISEASES inferred 15;11337355 2009174311065130 (more) 
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
46;HSD17B10;Hydroxysteroid 17-Beta Dehydrogenase 10;Protein Coding;59.67;DISEASES inferred 15;11798857 172537679553139 (more) 
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
47;CDK5R1;Cyclin Dependent Kinase 5 Regulatory Subunit 1;Protein Coding;58.83;DISEASES inferred 15;10830966 1597801312887424 (more) 
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
48;AD15;Alzheimer Disease-15;Genetic Locus;58.06;MalaCards inferred 57;
;;;;;GeneCards inferred via(show sections);
49;AD8;Alzheimer Disease 8;Genetic Locus;58.06;MalaCards inferred 57;
;;;;;GeneCards inferred via(show sections);
50;AD16;Alzheimer Disease 16;Genetic Locus;58.06;MalaCards inferred 57;
;;;;;GeneCards inferred via(show sections);
51;AD17;Alzheimer Disease 17;Genetic Locus;58.06;MalaCards inferred 57;
;;;;;GeneCards inferred via(show sections);
52;AD13;Alzheimer Disease-13;Genetic Locus;58.06;MalaCards inferred 57;
;;;;;GeneCards inferred via(show sections);
53;AD14;Alzheimer Disease 14;Genetic Locus;58.06;MalaCards inferred 57;
;;;;;GeneCards inferred via(show sections);
54;AD11;Alzheimer Disease-11;Genetic Locus;58.06;MalaCards inferred 57;
;;;;;GeneCards inferred via(show sections);
55;AD10;Alzheimer Disease-10;Genetic Locus;58.06;MalaCards inferred 57;
;;;;;GeneCards inferred via(show sections);
56;AD12;Alzheimer Disease 12;Genetic Locus;58.06;MalaCards inferred 57;
;;;;;GeneCards inferred via(show sections);
57;TNF;Tumor Necrosis Factor;Protein Coding;57.58;Risk factor 6;1 127 306 415 895 460
;;;;;DISEASES inferred 15;
;;;;;GeneCards inferred via(show sections);
58;NCSTN;Nicastrin;Protein Coding;54.4;DISEASES inferred 15;11992262 1656266615249634 (more) 
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
59;IDE;Insulin Degrading Enzyme;Protein Coding;54.27;DISEASES inferred 15;10213160 1527761516894402 (more) 
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
60;SERPINA3;Serpin Family A Member 3;Protein Coding;53.18;DISEASES inferred 15;1623174 92219779129962 (more) 
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
61;PSENEN;Presenilin Enhancer, Gamma-Secretase Subunit;Protein Coding;53.05;DISEASES inferred 15;14745076 1766800518834861 (more) 
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
62;BACE2;Beta-Secretase 2;Protein Coding;51.96;DISEASES inferred 15;11032903 1912400919968762 (more) 
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
63;MIR197;MicroRNA 197;RNA Gene;50;Unspecified 47;18434550
;;Significantly changed miRNAs in cortex of sporadic AD cases.;;;;
64;MIR181C;MicroRNA 181c;RNA Gene;50;Unspecified 47;18434550
;;Significantly changed miRNAs in cortex of sporadic AD cases.;;;;
65;MIRLET7I;MicroRNA Let-7i;RNA Gene;50;Unspecified 47;18434550
;;Significantly changed miRNAs in cortex of sporadic AD cases.;;;;
66;MIR128-1;MicroRNA 128-1;RNA Gene;50;Unspecified 47;17314675
;;Significant change in micro-RNA abundance in the hippocampal region of fetal, adult and Alzheimer's disease brain.;;;;
67;MIR15A;MicroRNA 15a;RNA Gene;50;Unspecified 47;18434550
;;Significantly changed miRNAs in cortex of sporadic AD cases.;;;;
68;MIR26B;MicroRNA 26b;RNA Gene;50;Unspecified 47;18434550
;;Significantly changed miRNAs in cortex of sporadic AD cases.;;;;
69;MIR210;MicroRNA 210;RNA Gene;50;Unspecified 47;18434550
;;Significantly changed miRNAs in cortex of sporadic AD cases.;;;;
70;MIR93;MicroRNA 93;RNA Gene;50;Unspecified 47;18434550
;;Significantly changed miRNAs in cortex of sporadic AD cases.;;;;
71;MIR320A;MicroRNA 320a;RNA Gene;50;Unspecified 47;18434550
;;Significantly changed miRNAs in cortex of sporadic AD cases.;;;;
72;MIR22;MicroRNA 22;RNA Gene;50;Unspecified 47;18434550
;;Significantly changed miRNAs in cortex of sporadic AD cases.;;;;
73;MIR511;MicroRNA 511;RNA Gene;50;Unspecified 47;18434550
;;Significantly changed miRNAs in cortex of sporadic AD cases.;;;;
74;MIR363;MicroRNA 363;RNA Gene;50;Unspecified 47;18434550
;;Significantly changed miRNAs in cortex of sporadic AD cases.;;;;
75;DHCR24;24-Dehydrocholesterol Reductase;Protein Coding;41.05;DISEASES inferred 15;19597241 1798422019815556 (more) 
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
76;PLD3;Phospholipase D Family Member 3;Protein Coding;40.51;DISEASES inferred 15;
;;;;;GeneCards inferred via(show sections);
77;CTSD;Cathepsin D;Protein Coding;40.14;DISEASES inferred 15;1795881 1500395610218883 (more) 
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
78;CASP3;Caspase 3;Protein Coding;39.97;DISEASES inferred 15;16750894 1058258518184791 (more) 
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
79;PRNP;Prion Protein;Protein Coding;39.25;DISEASES inferred 15;9399956 1534677011897561 (more) 
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
80;DPYSL2;Dihydropyrimidinase Like 2;Protein Coding;39.21;DISEASES inferred 15;19519308 1066667418000012 (more) 
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
81;SNCB;Synuclein Beta;Protein Coding;38.88;DISEASES inferred 15;10557341
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
82;UBB;Ubiquitin B;Protein Coding;38.78;DISEASES inferred 15;11124436 1091196610666673 (more) 
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
83;MT3;Metallothionein 3;Protein Coding;38.4;DISEASES inferred 15;7834016 18730339437661 (more) 
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
84;BPTF;Bromodomain PHD Finger Transcription Factor;Protein Coding;36.51;DISEASES inferred 15;9821166 87864049792236 (more) 
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
85;GSK3A;Glycogen Synthase Kinase 3 Alpha;Protein Coding;36.29;DISEASES inferred 15;793 129 213 361 527 000 000
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
86;CHAT;Choline O-Acetyltransferase;Protein Coding;35.69;DISEASES inferred 15;15364407 216624316797789 (more) 
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
87;BCHE;Butyrylcholinesterase;Protein Coding;35.67;DISEASES inferred 15;17681768 1551024217553629 (more) 
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
88;UCHL1;Ubiquitin C-Terminal Hydrolase L1;Protein Coding;35.35;DISEASES inferred 15;17925890 1472207820144674 (more) 
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
89;CDK5;Cyclin Dependent Kinase 5;Protein Coding;35.04;DISEASES inferred 15;9666145 1835035516413130 (more) 
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
90;GAPDH;Glyceraldehyde-3-Phosphate Dehydrogenase;Protein Coding;34.52;DISEASES inferred 15;7891898 977965616186172 (more) 
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
91;DOCK3;Dedicator Of Cytokinesis 3;Protein Coding;33.38;DISEASES inferred 15;11696419
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
92;ABCA7;ATP Binding Cassette Subfamily A Member 7;Protein Coding;33.31;DISEASES inferred 15;
;;;;;GeneCards inferred via(show sections);
93;APLP2;Amyloid Beta Precursor Like Protein 2;Protein Coding;33.08;DISEASES inferred 15;9037522 88636579037521 (more) 
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
94;OLR1;Oxidized Low Density Lipoprotein Receptor 1;Protein Coding;32.85;DISEASES inferred 15;15860461 1632851515060104 (more) 
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
95;CALHM1;Calcium Homeostasis Modulator 1;Protein Coding;32.69;DISEASES inferred 15;
;;;;;GeneCards inferred via(show sections);
96;APH1A;Aph-1 Homolog A, Gamma-Secretase Subunit;Protein Coding;32.63;DISEASES inferred 15;
;;;;;GeneCards inferred via(show sections);
97;MME;Membrane Metalloendopeptidase;Protein Coding;32.09;DISEASES inferred 15;15778722 1702140611689168 (more) 
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
98;DNM1L;Dynamin 1 Like;Protein Coding;31.11;DISEASES inferred 15;
;;;;;GeneCards inferred via(show sections);
99;ITM2B;Integral Membrane Protein 2B;Protein Coding;30.85;DISEASES inferred 15;145 866 291 129 042 000 000 000
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
100;GSAP;Gamma-Secretase Activating Protein;Protein Coding;30.52;DISEASES inferred 15;
;;;;;GeneCards inferred via(show sections);
101;CTSB;Cathepsin B;Protein Coding;30.3;DISEASES inferred 15;1795881 767480711033346 (more) 
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
102;APBA2;Amyloid Beta Precursor Protein Binding Family A Member 2;Protein Coding;30.3;DISEASES inferred 15;958 543 812 972 431
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
103;APBA1;Amyloid Beta Precursor Protein Binding Family A Member 1;Protein Coding;30.24;DISEASES inferred 15;16 545 469 961 407 500 000 000
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
104;IL1B;Interleukin 1 Beta;Protein Coding;30.06;DISEASES inferred 15;15201366 897169918021299 (more) 
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
105;COL25A1;Collagen Type XXV Alpha 1 Chain;Protein Coding;29.83;DISEASES inferred 15;
;;;;;GeneCards inferred via(show sections);
106;NAE1;NEDD8 Activating Enzyme E1 Subunit 1;Protein Coding;29.72;DISEASES inferred 15;
;;;;;GeneCards inferred via(show sections);
107;DBN1;Drebrin 1;Protein Coding;29.36;DISEASES inferred 15;12009525 883857820183806 (more) 
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
108;GPC1;Glypican 1;Protein Coding;28.98;DISEASES inferred 15;
;;;;;GeneCards inferred via(show sections);
109;ACHE;Acetylcholinesterase (Cartwright Blood Group);Protein Coding;28.71;DISEASES inferred 15;1469405 175536299269216 (more) 
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
110;PITRM1;Pitrilysin Metallopeptidase 1;Protein Coding;28.38;DISEASES inferred 15;
;;;;;GeneCards inferred via(show sections);
111;CLSTN1;Calsyntenin 1;Protein Coding;28.35;DISEASES inferred 15;
;;;;;GeneCards inferred via(show sections);
112;VLDLR;Very Low Density Lipoprotein Receptor;Protein Coding;28.32;DISEASES inferred 15;8786409 95624678761993 (more) 
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
113;DYRK1A;Dual Specificity Tyrosine Phosphorylation Regulated Kinase 1A;Protein Coding;28.19;DISEASES inferred 15;19995442 1869609217135279 (more) 
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
114;GRIN2C;Glutamate Ionotropic Receptor NMDA Type Subunit 2C;Protein Coding;27.66;DISEASES inferred 15;
;;;;;GeneCards inferred via(show sections);
115;VSNL1;Visinin Like 1;Protein Coding;27.55;DISEASES inferred 15;1 117 388 319 264 850
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
116;AGER;Advanced Glycosylation End-Product Specific Receptor;Protein Coding;27.39;DISEASES inferred 15;18331236 2019280816842100 (more) 
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
117;RCAN1;Regulator Of Calcineurin 1;Protein Coding;27.15;DISEASES inferred 15;11483593 1644285516231093 (more) 
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
