Gene Symbol,Description,Category,Gifts,GC Id,Relevance score, GeneCards Link
"IL6","Interleukin 6","Protein Coding","55","GC07P022765","38.54","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL6"
"UBB","Ubiquitin B","Protein Coding","51","GC17P016301","38.3","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UBB"
"DKK1","Dickkopf WNT Signaling Pathway Inhibitor 1","Protein Coding","52","GC10P052314","38","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DKK1"
"DNM1L","Dynamin 1 Like","Protein Coding","53","GC12P032679","37.98","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DNM1L"
"COL25A1","Collagen Type XXV Alpha 1 Chain","Protein Coding","45","GC04M108810","37.66","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COL25A1"
"GRIN2A","Glutamate Ionotropic Receptor NMDA Type Subunit 2A","Protein Coding","57","GC16M009753","37.6","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GRIN2A"
"INS","Insulin","Protein Coding","54","GC11M002159","37.58","https://www.genecards.org/cgi-bin/carddisp.pl?gene=INS"
"COX5A","Cytochrome C Oxidase Subunit 5A","Protein Coding","50","GC15M074919","37.57","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COX5A"
"DHCR24","24-Dehydrocholesterol Reductase","Protein Coding","51","GC01M054849","37.46","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DHCR24"
"GAL","Galanin And GMAP Prepropeptide","Protein Coding","50","GC11P068701","37.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GAL"
"GRIN1","Glutamate Ionotropic Receptor NMDA Type Subunit 1","Protein Coding","57","GC09P137138","36.91","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GRIN1"
"CAPN1","Calpain 1","Protein Coding","55","GC11P065198","36.78","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAPN1"
"DYRK1A","Dual Specificity Tyrosine Phosphorylation Regulated Kinase 1A","Protein Coding","56","GC21P037365","36.65","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DYRK1A"
"CHRNA4","Cholinergic Receptor Nicotinic Alpha 4 Subunit","Protein Coding","55","GC20M063343","36.26","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHRNA4"
"CDK5","Cyclin Dependent Kinase 5","Protein Coding","59","GC07M151053","36.23","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDK5"
"CLU","Clusterin","Protein Coding","53","GC08M027596","36.2","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLU"
"SLC6A3","Solute Carrier Family 6 Member 3","Protein Coding","57","GC05M001392","36.09","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC6A3"
"MIR146A","MicroRNA 146a","RNA Gene","22","GC05P160485","36.06","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR146A"
"ITM2B","Integral Membrane Protein 2B","Protein Coding","50","GC13P048233","35.9","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITM2B"
"MSR1","Macrophage Scavenger Receptor 1","Protein Coding","53","GC08M016009","35.82","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MSR1"
"IL1A","Interleukin 1 Alpha","Protein Coding","50","GC02M112773","35.77","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL1A"
"SEMA3A","Semaphorin 3A","Protein Coding","52","GC07M083955","35.43","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SEMA3A"
"MT-CO2","Mitochondrially Encoded Cytochrome C Oxidase II","Protein Coding","36","GCMTP007587","35.43","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-CO2"
"ITPR1","Inositol 1,4,5-Trisphosphate Receptor Type 1","Protein Coding","56","GC03P004486","35.42","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITPR1"
"PARK7","Parkinsonism Associated Deglycase","Protein Coding","53","GC01P007957","35.29","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PARK7"
"CASP3","Caspase 3","Protein Coding","57","GC04M184627","34.98","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASP3"
"CALM1","Calmodulin 1","Protein Coding","49","GC14P090396","34.83","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CALM1"
"EIF2AK3","Eukaryotic Translation Initiation Factor 2 Alpha Kinase 3","Protein Coding","54","GC02M088637","34.5","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EIF2AK3"
"AD5","Alzheimer Disease 5","Genetic Locus","7","GC12U990107","34.12","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AD5"
"AD6","Alzheimer Disease 6","Genetic Locus","4","GC10U990101","33.96","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AD6"
"SLC1A3","Solute Carrier Family 1 Member 3","Protein Coding","57","GC05P036606","33.91","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC1A3"
"MIR34A","MicroRNA 34a","RNA Gene","24","GC01M009151","33.77","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR34A"
"MIR29A","MicroRNA 29a","RNA Gene","21","GC07M130876","33.47","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR29A"
"SLC18A3","Solute Carrier Family 18 Member A3","Protein Coding","51","GC10P049610","33.23","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC18A3"
"NPC1","NPC Intracellular Cholesterol Transporter 1","Protein Coding","54","GC18M023506","33.19","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NPC1"
"PLCB1","Phospholipase C Beta 1","Protein Coding","54","GC20P008061","33.15","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLCB1"
"CALM2","Calmodulin 2","Protein Coding","51","GC02M047124","33.13","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CALM2"
"IDE","Insulin Degrading Enzyme","Protein Coding","55","GC10M092451","33.12","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IDE"
"OGT","O-Linked N-Acetylglucosamine (GlcNAc) Transferase","Protein Coding","50","GC0XP071534","33.09","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OGT"
"CTNNA3","Catenin Alpha 3","Protein Coding","46","GC10M065912","32.83","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTNNA3"
"CALM3","Calmodulin 3","Protein Coding","50","GC19P046601","32.55","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CALM3"
"LRP8","LDL Receptor Related Protein 8","Protein Coding","49","GC01M053243","32.55","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LRP8"
"BLMH","Bleomycin Hydrolase","Protein Coding","50","GC17M030248","32.51","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BLMH"
"APBB2","Amyloid Beta Precursor Protein Binding Family B Member 2","Protein Coding","45","GC04M040812","32.38","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APBB2"
"AD7","Alzheimer Disease 7","Genetic Locus","4","GC10U900571","32.2","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AD7"
"MIR107","MicroRNA 107","RNA Gene","19","GC10M089601","32.09","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR107"
"CSNK1D","Casein Kinase 1 Delta","Protein Coding","58","GC17M082239","32.03","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CSNK1D"
"ITPR3","Inositol 1,4,5-Trisphosphate Receptor Type 3","Protein Coding","54","GC06P033588","32","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITPR3"
"PTGS2","Prostaglandin-Endoperoxide Synthase 2","Protein Coding","55","GC01M186640","31.83","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTGS2"
"TREM2","Triggering Receptor Expressed On Myeloid Cells 2","Protein Coding","50","GC06M041126","31.79","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TREM2"
"IL10","Interleukin 10","Protein Coding","54","GC01M206767","31.76","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL10"
"PPP3CA","Protein Phosphatase 3 Catalytic Subunit Alpha","Protein Coding","58","GC04M101024","31.73","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPP3CA"
"HTR2A","5-Hydroxytryptamine Receptor 2A","Protein Coding","54","GC13M046831","31.67","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HTR2A"
"AD10","Alzheimer Disease-10","Genetic Locus","4","GC07U901794","31.32","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AD10"
"MIR15A","MicroRNA 15a","RNA Gene","15","GC13M050049","30.68","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR15A"
"AD11","Alzheimer Disease-11","Genetic Locus","3","GC09U901247","30.61","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AD11"
"AD12","Alzheimer Disease 12","Genetic Locus","3","GC08U901173","30.61","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AD12"
"AD8","Alzheimer Disease 8","Genetic Locus","3","GC20U900057","30.61","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AD8"
"AD17","Alzheimer Disease 17","Genetic Locus","3","GC06U902426","30.58","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AD17"
"AD13","Alzheimer Disease-13","Genetic Locus","3","GC01U902342","30.43","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AD13"
"AD14","Alzheimer Disease 14","Genetic Locus","3","GC01U902204","30.43","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AD14"
"AD15","Alzheimer Disease-15","Genetic Locus","3","GC03U901230","30.43","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AD15"
"MIR106B","MicroRNA 106b","RNA Gene","21","GC07M100163","30.32","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR106B"
"AD16","Alzheimer Disease 16","Genetic Locus","3","GC0XU901247","30.21","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AD16"
"MIR210","MicroRNA 210","RNA Gene","19","GC11M000601","30.02","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR210"
"MIR22","MicroRNA 22","RNA Gene","19","GC17M001713","29.74","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR22"
"CDK5R1","Cyclin Dependent Kinase 5 Regulatory Subunit 1","Protein Coding","52","GC17P032486","29.71","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDK5R1"
"AGER","Advanced Glycosylation End-Product Specific Receptor","Protein Coding","50","GC06M032180","29.53","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AGER"
"S100B","S100 Calcium Binding Protein B","Protein Coding","53","GC21M046599","29.29","https://www.genecards.org/cgi-bin/carddisp.pl?gene=S100B"
"MIAT","Myocardial Infarction Associated Transcript","RNA Gene","23","GC22P026646","29.2","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIAT"
"APBB1","Amyloid Beta Precursor Protein Binding Family B Member 1","Protein Coding","50","GC11M006414","29.13","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APBB1"
"MIR29B1","MicroRNA 29b-1","RNA Gene","19","GC07M130877","28.93","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR29B1"
"MIR128-1","MicroRNA 128-1","RNA Gene","19","GC02P135665","28.93","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR128-1"
"DRD2","Dopamine Receptor D2","Protein Coding","57","GC11M113314","28.84","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DRD2"
"MIR181C","MicroRNA 181c","RNA Gene","21","GC19P013858","28.84","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR181C"
"MIR320A","MicroRNA 320a","RNA Gene","20","GC08M022245","28.82","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR320A"
"COMT","Catechol-O-Methyltransferase","Protein Coding","58","GC22P019941","28.8","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COMT"
"MAOB","Monoamine Oxidase B","Protein Coding","48","GC0XM043766","28.78","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAOB"
"BACE2","Beta-Secretase 2","Protein Coding","47","GC21P041168","28.6","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BACE2"
"PIN1","Peptidylprolyl Cis/Trans Isomerase, NIMA-Interacting 1","Protein Coding","52","GC19P009835","28.35","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIN1"
"MIR93","MicroRNA 93","RNA Gene","20","GC07M100162","28.12","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR93"
"MIR197","MicroRNA 197","RNA Gene","18","GC01P109549","28.1","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR197"
"CBS","Cystathionine-Beta-Synthase","Protein Coding","56","GC21M043053","27.77","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CBS"
"PAXIP1","PAX Interacting Protein 1","Protein Coding","42","GC07M154943","27.67","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PAXIP1"
"VCP","Valosin Containing Protein","Protein Coding","56","GC09M035056","27.56","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VCP"
"TGFB1","Transforming Growth Factor Beta 1","Protein Coding","60","GC19M041301","27.49","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFB1"
"MIR328","MicroRNA 328","RNA Gene","18","GC16M067203","27.24","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR328"
"AKT1","AKT Serine/Threonine Kinase 1","Protein Coding","62","GC14M104769","27.01","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKT1"
"CYP2D6","Cytochrome P450 Family 2 Subfamily D Member 6","Protein Coding","56","GC22M042350","26.97","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP2D6"
"TP53","Tumor Protein P53","Protein Coding","62","GC17M007661","26.64","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TP53"
"MIRLET7I","MicroRNA Let-7i","RNA Gene","19","GC12P062606","26.6","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIRLET7I"
"IFNG","Interferon Gamma","Protein Coding","55","GC12M068064","26.32","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNG"
"NOS1","Nitric Oxide Synthase 1","Protein Coding","55","GC12M117169","26.29","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOS1"
"CYCS","Cytochrome C, Somatic","Protein Coding","56","GC07M025158","26.15","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYCS"
"GAPDH","Glyceraldehyde-3-Phosphate Dehydrogenase","Protein Coding","54","GC12P006533","26.14","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GAPDH"
"HTT","Huntingtin","Protein Coding","50","GC04P003076","26.13","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HTT"
"RYR1","Ryanodine Receptor 1","Protein Coding","56","GC19P038434","26.02","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RYR1"
"SNCAIP","Synuclein Alpha Interacting Protein","Protein Coding","49","GC05P122311","25.85","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNCAIP"
"NOD2","Nucleotide Binding Oligomerization Domain Containing 2","Protein Coding","54","GC16P050693","25.77","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOD2"
"ATP7B","ATPase Copper Transporting Beta","Protein Coding","54","GC13M051905","25.73","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP7B"
"MIR298","MicroRNA 298","RNA Gene","17","GC20M058818","25.72","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR298"
"CALHM1","Calcium Homeostasis Modulator 1","Protein Coding","39","GC10M103454","25.37","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CALHM1"
"GSK3A","Glycogen Synthase Kinase 3 Alpha","Protein Coding","55","GC19M042230","24.62","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GSK3A"
"NOTCH1","Notch 1","Protein Coding","59","GC09M136527","24.61","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOTCH1"
"RPS27A","Ribosomal Protein S27a","Protein Coding","50","GC02P055231","24.39","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS27A"
"DPYSL2","Dihydropyrimidinase Like 2","Protein Coding","52","GC08P026514","24.39","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DPYSL2"
